title,genres,Plot
Shadows of the Past,"Thriller, Drama","In the aftermath of her father’s tragic suicide, Sahana and her mother grapple with grief and the question of why he took his own life to which she starts experiencing a series of chilling and inexplicable events, blurring the line between reality and supernatural forces."
Dakini,"Horror, Mystery, Thriller","When darkness holds the light, the thin line between good and evil becomes an illusion. Unravel the captivating journey between perception and reality."
BOB - A Short Film by Aneel Neupane,Thriller,A psychiatrist is trying to help a young schizophrenic patient win over his imagination with some rather unconventional methods.
Family Man,,"During a storm in a remote Nepalese village, a mysterious man finds refuge in the house of a family haunted by their father's disappearance years before. Strangely unwilling to leave, he slowly reawakens lost memories of the missing father."
Shape of Momo,"Drama, Family","Bishnu returns to her Himalayan village after quitting her job, only to face mounting family pressures and societal expectations. As tensions rise with her pregnant sister's arrival and a budding relationship with a ""suitable"" boy from her community, Bishnu must choose between conforming to tradition or claiming her independence."
Saino,"Thriller, Drama, Romance, Action",A couple leaves a city to go the village where a lot of conflict waiting to tear them completely.
Nango Gaun,"Drama,  Social,","Nango Gaun is a Nepali movie directed by Dipendra Lama starring, Day hang Rai, Miruna Magar, Karma, Samragyi RL Shah."
Kabaddi 4: The Final Match,"Comedy,  Adventure,","""Kabaddi 4: The Final Match"" takes viewers on a rollercoaster ride through the picturesque landscapes of a Nepali village, where tradition clashes with modernity and love blossoms unexpectedly. Kaji, played by the talented Dayahang Rai, plans to become a monk, rejecting the prospect of marriage. However, when his mother's desperate plea brings him back, his life takes a dramatic turn. Meanwhile, the charismatic Bam Kaji, portrayed by Saugat Malla, returns to the village, vowing never to marry again after his divorce. Fate intervenes as he falls for Shanti, played by the charming Miruna Magar, who joins the village school as a teacher. Amidst hilarious misunderstandings, heartfelt moments, and a dash of suspense, the film explores the complexities of love and cultural norms. As the characters navigate romantic entanglements, unexpected alliances, and a hilarious case of mistaken identity, ""Kabaddi 4: The Final Match"" delivers laughter, love, and life lessons in equal measure, making it"
Fulbari,"Drama,","Fulbari is a 2023 Nepali film written by Upendra Subba and directed by Ram Babu Gurung under the banner of G21 Production.It is produced by Manish Dhakal . Released on February 17, 2023, the film stars Dayahang Rai, Bipin Karki, Priyanka Karki, Aruna Karki and more."
Captain,"Drama,  Sports,",Father's dedication to guiding his son to becoming a better footballer.
Hami Teen Bhai,"Comedy,  Action,","Hami Tin Bhai is a Nepali action, comedy film directed by Shiva Regmi. The film features three of biggest Superstar actors of late 90s and 2000s era- Rajesh Hamal, Shree Krishna Shrestha and Nikhil ..."
Sanglo,"Social,  Action,  Thriller,",Actor Biraj Bhatta is going to debut his direction career from 'Sanglo'. Miss Nepal 2017 Nikita Chandak Maheshwari can be seen in the opposite pair of Biraj in the movie.
Bihe Pass,"Comedy,  Romance,","When a shady married man Bhagyaraj is caught in the illegal act by his wife's father, a government official, he must pass the Public Service Commission exam or risk..."
Aama Ko Asirvad,"Drama,  Social,  Family,",Aama ko asirvad is Nepali movie directed by Deepak Shrestha.
Chhakka Panja,"Comedy,","Story of five friends Raja (Deepak Raj Giri), Saraswoti (Jeetu Nepal), Magne (Kedar Ghimire) and Buddhi (Buddhi Tamang). Raja is rich but illiterate and enjoys life, and tells his friends to not get married or hold any job. However, he secretly has affairs with married women.Then one day Raja gets married to Champa (Priyanka Karki), and the story enters a serious mode."
Lakka Jawan,"Drama,  Romance,","‘Lakka Jawan’ is a Nepali movie which is a story of many life directed by  Shivahari Paudyal starring Priyanka Karki, Salon Basnet."
A Mero Hajur 4,"Drama,  Romance,",It follows a vibrant couple as they meet and fall in love. Some unexpected things happen that make everything take a turn. Will everything be sorted out between them?
Balidan,"Action,","Balidan new Nepali movie directed by Santosh Sen, releasing soon on Dashain 2081."
Mahan,"Drama,  Action,","Mahan is Nepali movie directed by Krishna Chapagain, starring Jharana Thapa and Biraj Bhatta."
Babari,"Drama,  Romance,","""Babari"" follows the journey of Bijeta, a young woman from Jhapa, as she travels to Sikkim in search of her boyfriend Ronish, accompanied by her friend Bikrant, who falls in love with her along the way. The film attempts to blend elements from both 80s and 2010s Nepali cinema, aiming for a unique hybrid style. However, it falls short of capturing the humility of the 80s era and the inventive energy of the 2010s, lacking the purity and vibrancy of its cinematic predecessors."
Mr. Jholay,"Drama,",A unknower (Dayahang Rai) acounters a lot of unknown stuff to him than he starts visit them with his friends while in the journey he starts to began a relationship.
Kaha Bhetiyela,"Drama,  Social,","“Kaha Bhetiyela” is the debut movie of actor Shree Krishna Shrestha as a producer. The movie also marks the debut of his wife Sweta Khadka. Sweta and Shree Krishna got married on July 7, 2014. The movie is produced under the banner of Nepaa movies P. Ltd. The movie was directed by late Shiva Regmi. After the success of ‘Kaha Bhetiyela’ Shree Krishna produced his second movie ‘Kohinoor’ with Sweta. The movie is going to release next week. Shree Krishna is rumored to be seriously sick and is being treated in Delhi."
Kabaddi Kabaddi Kabaddi,"Comedy,  Love Story,",Kabaddi Kabaddi Kabaddi is a sequel movie of the hit 2013 movie Kabaddi and 2015 Kabaddi Kabaddi. This time the movie presents the conflict of same cast and inter cast marriage.
Pinjada Back Again,"Drama,  Romance,  Action,","New Nepali Movie - ""PINJADA Back Again "" Official Trailer || Nikhil Upreti, Bishow Sharma, Sa ra || Latest Movie 2017 NU production Presents In Association with BISHOW Production Nikhil Upreti's PINJADA Back Again"
Nai Nabhannu La 5,"Drama,  Romance,","Nai Nabhannu La 5 is a 2018 drama film, directed and written by Bikash Raj Acharya, Samipyaraj Timalsena. The film is produced by Haribol Bandari and Gauri Raj Joshi under the banner of One Time Cinema."
Chhakka Panja 2,"Comedy,  Drama,",Chhakka Panja 2 continues with new story of Raja and his friend at the village.
Ke Ghar Ke Dera,"Comedy,","Emotional and comedic struggles of those who have a place to call their own, and those who don't, in Kathmandu, Nepal."
Himmat,"Drama,  Social,  Action,","Himmat is an old Nepali movie directed by Deepak Shrestha, starring Rekha Thapa, Biraj Bhtta, etc."
